"value","fold","epoch","set","metric"
0.807532072142922,2,10,"train","f1"
1.4637025660938687,2,10,"val","loss"
0.4548611111111111,2,10,"val","accuracy"
0.4659191012312701,2,10,"val","f1"
1.6683237091589473,3,1,"train","loss"
0.4172473867595819,3,1,"train","accuracy"
0.42201949449460424,3,1,"train","f1"
1.5968252552880182,3,1,"val","loss"
0.4088541666666667,3,1,"val","accuracy"
0.4126699061986135,3,1,"val","f1"
1.2330799663523764,3,2,"train","loss"
0.6104094076655052,3,2,"train","accuracy"
0.6162788967893349,3,2,"train","f1"
1.5357213550143771,3,2,"val","loss"
0.4140625,3,2,"val","accuracy"
0.41442975236914886,3,2,"val","f1"
1.0473155555824785,3,3,"train","loss"
0.663109756097561,3,3,"train","accuracy"
0.6688123823244604,3,3,"train","f1"
1.5299640397230785,3,3,"val","loss"
0.4270833333333333,3,3,"val","accuracy"
0.4320843008452507,3,3,"val","f1"
0.9327726640352388,3,4,"train","loss"
0.7051393728222997,3,4,"train","accuracy"
0.7091290258604542,3,4,"train","f1"
1.5255872905254364,3,4,"val","loss"
0.4375,3,4,"val","accuracy"
0.4358459366451095,3,4,"val","f1"
0.8494267064935239,3,5,"train","loss"
0.7367160278745645,3,5,"train","accuracy"
0.739617332903916,3,5,"train","f1"
1.5372880862818823,3,5,"val","loss"
0.4244791666666667,3,5,"val","accuracy"
0.4330085998107843,3,5,"val","f1"
0.7848649702005686,3,6,"train","loss"
0.7454268292682927,3,6,"train","accuracy"
0.7484869528732035,3,6,"train","f1"
1.5629380146662395,3,6,"val","loss"
0.4444444444444444,3,6,"val","accuracy"
